"DATE","TIME","TEMP","RH","WS","PREC","YR","MON","DAY","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
2000-06-09,13:00:00,20.5555555555556,28,6.437376,0,2000,6,9,40.25,105.75,94.5366708028375,57.3705751128809,71.044,11.2360320702069,56.8961065865854,25.7585202346258,8.54867713702312
2000-06-10,13:00:00,20,16,6.437376,0,2000,6,10,40.25,105.75,94.5875260629055,62.0367016968809,78.048,11.3149863367245,61.5492926589212,26.920810712671,9.24325430937644
2000-06-11,13:00:00,21.1111111111111,12,8.04672,0,2000,6,11,40.25,105.75,95.5046098403648,67.1824404293253,85.252,13.9123685693581,66.6743955172342,32.2187943183379,12.7034691526305
2000-06-12,13:00:00,21.1111111111111,10,11.265408,0,2000,6,12,40.25,105.75,96.1786989903675,72.4451277693253,92.456,17.9281686081099,71.9128798358411,39.484671121735,18.2073773582255
2000-06-13,13:00:00,16.6666666666667,26,11.265408,508,2000,6,13,40.25,105.75,59.4950310137626,28.1375167890208,6.404,0.699155299693859,27.2504830695109,0.774234777730661,0.0172931273428738
2000-06-14,13:00:00,20.5555555555556,25,8.04672,0,2000,6,14,40.25,105.75,84.6487207541105,32.4133954056875,13.508,3.0126033302366,31.624826352549,6.56963258846576,0.761406568693535
2000-06-15,13:00:00,22.2222222222222,20,12.874752,0,2000,6,15,40.25,105.75,92.3765725587497,37.3253539301319,20.912,11.5010078142722,36.5939190412861,21.0185557053997,5.96452665940736
2000-06-16,13:00:00,15.5555555555556,29,8.04672,0,2000,6,16,40.25,105.75,92.1909308922711,40.438591387243,27.116,8.78430760927328,39.753042180829,18.0101088656223,4.53766909596757
2000-06-17,13:00:00,11.6666666666667,39,4.828032,5842,2000,6,17,40.25,105.75,43.2969523981547,12.6887805288766,5.504,0.0797825387839726,12.0145104433466,0.0532784643409803,0.000151553304580465
2000-06-18,13:00:00,18.8888888888889,23,8.04672,0,2000,6,18,40.25,105.75,78.6417709766515,16.7408245419877,12.308,1.4944686915279,16.2063138062278,1.66600089250293,0.067132691698206
2000-06-19,13:00:00,10,94,3.218688,6096,2000,6,19,40.25,105.75,11.9287017330505,5.84854512119825,5.204,4.27258033699317e-06,5.40677244547761,1.90215465642578e-06,2.03626367455759e-12
